phrase;opinion_value;standard_deviation;standard_error;phrase_type;manual_correction
einfach nur bequem;1.000;0.000;0.000;a;
einfach nur bewegend;1.000;0.000;0.000;a;
einfach nur bewundernswert;1.000;0.000;0.000;a;
einfach nur bezaubernd;1.000;0.000;0.000;a;
einfach nur bombastisch;0.903;0.198;0.030;a;
einfach nur Bombe;0.997;0.040;0.009;n;
einfach nur brillant;0.906;0.195;0.049;a;
einfach nur cool;0.909;0.193;0.026;a;
einfach nur dankbar;1.000;0.000;0.000;a;
einfach nur dümmlich;-0.938;0.165;0.074;a;
einfach nur einmalig;1.000;0.000;0.000;a;
einfach nur einzigartig;0.938;0.165;0.043;a;
einfach nur empfehlenswert;1.000;0.000;0.000;a;
einfach nur enttäuschend;-0.949;0.151;0.022;a;
einfach nur episch;1.000;0.000;0.000;a;
einfach nur ergreifend;1.000;0.000;0.000;a;
einfach nur erstaunt;1.000;0.000;0.000;a;
einfach nur ersten;0.000;0.000;0.000;a;m
einfach nur fantastisch;1.000;0.000;0.000;a;
einfach nur faszinierend;0.921;0.182;0.033;a;
einfach nur fasziniert;0.965;0.128;0.023;a;
einfach nur fesselnd;1.000;0.000;0.000;a;
einfach nur fett;0.000;0.000;0.000;a;m
einfach nur Freude;0.998;0.033;0.006;n;
einfach nur furchtbar;-0.583;0.672;0.194;a;
einfach nur Gänsehaut;0.000;0.000;0.000;n;m
einfach nur gefesselt;1.000;0.000;0.000;a;
einfach nur gefreut;1.000;0.000;0.000;a;
einfach nur geil;0.981;0.097;0.006;a;
einfach nur Geldverschwendung;-0.958;0.138;0.040;n;
einfach nur gelungen;0.958;0.138;0.056;a;
einfach nur gemütlich;1.000;0.000;0.000;a;
einfach nur genial;0.995;0.052;0.002;a;
einfach nur genial gut;1.000;0.000;0.000;a;
einfach nur genial...;1.000;0.000;0.000;a;
einfach nur gewaltig;0.938;0.165;0.052;a;
einfach nur gigantisch;0.965;0.127;0.019;a;
einfach nur glücklich;0.953;0.146;0.017;a;
einfach nur goldig;0.966;0.125;0.035;a;
einfach nur göttlich;1.000;0.000;0.000;a;
einfach nur grandios;1.000;0.000;0.000;a;
einfach nur groß;0.970;0.119;0.023;a;
einfach nur großartig;1.000;0.000;0.000;a;
einfach nur grottenschlecht;-1.000;0.000;0.000;a;
einfach nur gut;0.964;0.143;0.007;a;
einfach nur gut gemacht;0.562;0.165;0.074;a;
einfach nur Hammer;1.000;0.000;0.000;n;
einfach nur herausragend;1.000;0.000;0.000;a;
einfach nur herrlich;0.905;0.196;0.043;a;
einfach nur himmlisch;1.000;0.000;0.000;a;
einfach nur hinreißend;0.906;0.195;0.049;a;
einfach nur irre;0.000;0.000;0.000;a;m
einfach nur Käse;-1.000;0.000;0.000;n;
einfach nur klasse;0.987;0.086;0.004;a;
einfach nur köstlich;0.958;0.138;0.040;a;
einfach nur krass;0.000;0.000;0.000;a;m
einfach nur Kult;1.000;0.000;0.000;n;
einfach nur kultig;0.993;0.059;0.020;a;
einfach nur kurz;0.000;0.000;0.000;a;m
einfach nur lächerlich;-1.000;0.000;0.000;a;
einfach nur langweilig;-0.882;0.237;0.025;a;
einfach nur lebendig;0.938;0.165;0.074;a;
einfach nur lecker;0.938;0.165;0.041;a;
einfach nur lesenswert;1.000;0.000;0.000;a;
einfach nur Lust;0.949;0.152;0.046;n;
einfach nur lustig;0.962;0.133;0.021;a;
einfach nur mangelhaft;-0.929;0.175;0.047;a;
einfach nur menschlich;0.400;0.000;0.000;a;m
einfach nur mies;-0.917;0.186;0.054;a;
einfach nur natürlich;0.938;0.165;0.074;a;
einfach nur neidisch;-0.400;0.000;0.000;a;m
einfach nur nervig;-0.731;0.373;0.103;a;
einfach nur niedlich;0.945;0.156;0.028;a;
einfach nur niveaulos;-1.000;0.000;0.000;a;
einfach nur noch ärgerlich;-0.938;0.165;0.074;a;
einfach nur noch begeistert;1.000;0.000;0.000;a;
einfach nur noch besser;1.000;0.000;0.000;a;
einfach nur noch geil;1.000;0.000;0.000;a;
einfach nur noch genial;1.000;0.000;0.000;a;
einfach nur noch gut;1.000;0.000;0.000;a;
einfach nur noch spannend;0.984;0.087;0.031;a;
einfach nur noch Spaß;0.915;0.187;0.045;n;
einfach nur noch süchtig;0.000;0.000;0.000;a;m
einfach nur normal;0.400;0.000;0.000;a;m
einfach nur optimal;1.000;0.000;0.000;a;
einfach nur packend;0.993;0.059;0.020;a;
einfach nur passend;0.918;0.185;0.051;a;
einfach nur peinlich;-0.941;0.161;0.039;a;
einfach nur perfekt;0.990;0.071;0.010;a;
einfach nur phänomenal;1.000;0.000;0.000;a;
einfach nur phantastisch;0.982;0.094;0.017;a;
einfach nur positiv;1.000;0.000;0.000;a;
einfach nur praktisch;0.900;0.200;0.063;a;
einfach nur prima;0.993;0.059;0.011;a;
einfach nur primitiv;-0.924;0.180;0.060;a;
einfach nur rein;0.400;0.000;0.000;a;m
einfach nur restlos begeistert;1.000;0.000;0.000;a;
einfach nur richtig geil;1.000;0.000;0.000;a;
einfach nur richtig gut;1.000;0.000;0.000;a;
einfach nur riesig;1.000;0.000;0.000;a;
einfach nur sauber;1.000;0.000;0.000;a;
einfach nur schade;-0.844;0.291;0.073;a;
einfach nur schick;0.993;0.059;0.014;a;
einfach nur schlecht;-0.981;0.103;0.006;a;
einfach nur schockierend;-0.800;0.000;0.000;a;m
einfach nur schön;0.958;0.164;0.010;a;
einfach nur schrecklich;-0.750;0.471;0.100;a;
einfach nur Schrott;-0.907;0.386;0.074;n;
einfach nur schwach;-0.917;0.186;0.054;a;
einfach nur sehenswert;1.000;0.000;0.000;a;
einfach nur sehr empfehlenswert;1.000;0.000;0.000;a;
einfach nur sehr genial;1.000;0.000;0.000;a;
einfach nur sehr gut;0.989;0.073;0.010;a;
einfach nur sehr zufrieden;1.000;0.000;0.000;a;
einfach nur sensationell;1.000;0.000;0.000;a;
einfach nur spannend;1.000;0.000;0.000;a;
einfach nur Spaß;0.849;0.267;0.037;n;
einfach nur spitze;1.000;0.000;0.000;a;
einfach nur Spitzenklasse;1.000;0.000;0.000;n;
einfach nur stark;0.981;0.096;0.020;a;
einfach nur stimmig;1.000;0.000;0.000;a;
einfach nur stylisch;0.906;0.195;0.069;a;
einfach nur süchtig;0.000;0.000;0.000;a;m
einfach nur super;0.998;0.031;0.002;a;
einfach nur super geil;1.000;0.000;0.000;a;
einfach nur super genial;1.000;0.000;0.000;a;
einfach nur super gut;0.945;0.156;0.039;a;
einfach nur super klasse;0.984;0.087;0.031;a;
einfach nur super lustig;0.958;0.138;0.056;a;
einfach nur super spannend;1.000;0.000;0.000;a;
einfach nur super toll;1.000;0.000;0.000;a;
einfach nur super zufrieden;1.000;0.000;0.000;a;
einfach nur süß;0.900;0.200;0.052;a;
einfach nur todlangweilig;-1.000;0.000;0.000;a;
einfach nur toll;0.976;0.106;0.007;a;
einfach nur top;0.993;0.058;0.005;a;
einfach nur topp;0.906;0.195;0.069;a;
einfach nur total begeistert;1.000;0.000;0.000;a;
einfach nur total geil;0.938;0.165;0.074;a;
einfach nur total langweilig;-0.938;0.165;0.074;a;
einfach nur traumhaft;1.000;0.000;0.000;a;
einfach nur traumhaft schön;0.986;0.117;0.039;a;
einfach nur traurig;-0.800;0.510;0.132;a;
einfach nur typisch;0.400;0.000;0.000;a;m
einfach nur überwältigend;1.000;0.000;0.000;a;
einfach nur überzeugend;0.993;0.059;0.020;a;
einfach nur umwerfend;1.000;0.000;0.000;a;
einfach nur unbeschreiblich;1.000;0.000;0.000;a;
einfach nur uneingeschränkt;0.000;0.000;0.000;a;m
einfach nur unglaublich;1.000;0.000;0.000;a;
einfach nur unglaublich gut;0.938;0.165;0.052;a;
einfach nur unschlagbar;1.000;0.000;0.000;a;
einfach nur verdammt gut;0.938;0.165;0.074;a;
einfach nur vorbildlich;0.973;0.113;0.043;a;
einfach nur Wahnsinn;0.967;0.125;0.032;n;
einfach nur wahnsinnig gut;1.000;0.000;0.000;a;
einfach nur wahr;1.000;0.000;0.000;a;
einfach nur Weltklasse;0.984;0.087;0.022;n;
einfach nur witzig;1.000;0.000;0.000;a;
einfach nur wund;-0.400;0.000;0.000;a;m
einfach nur wunderbar;1.000;0.000;0.000;a;
einfach nur wunderschön;0.959;0.136;0.022;a;
einfach nur wundervoll;0.900;0.271;0.070;a;
einfach nur zauberhaft;1.000;0.000;0.000;a;
einfach nur zufrieden;0.994;0.054;0.007;a;
einfach optimal;0.997;0.036;0.004;a;
einfach packend;1.000;0.000;0.000;a;
einfach passend;0.917;0.186;0.028;a;
einfach perfekt;0.990;0.087;0.006;a;
einfach perfekt geeignet;0.938;0.165;0.074;a;
einfach perfekt gelungen;1.000;0.000;0.000;a;
einfach perfekt umgesetzt;0.938;0.165;0.074;a;
einfach phänomenal;0.943;0.158;0.017;a;
einfach phantastisch;0.977;0.104;0.022;a;
einfach positiv;0.906;0.195;0.056;a;
einfach prächtig;0.993;0.059;0.020;a;
einfach praktisch;0.938;0.165;0.022;a;
einfach preiswert;0.906;0.195;0.056;a;
einfach prickelnd;1.000;0.000;0.000;a;
einfach prima;0.986;0.082;0.014;a;
einfach pur;0.400;0.000;0.000;a;m
einfach putzig;1.000;0.000;0.000;a;
einfach Qualität;0.986;0.117;0.039;n;
einfach regelmäßig;0.400;0.000;0.000;a;m
einfach Respekt;0.400;0.000;0.000;n;m
einfach restlos begeistert;0.949;0.152;0.046;a;
einfach richtig geil;0.958;0.138;0.056;a;
einfach richtig klasse;1.000;0.000;0.000;a;
einfach richtig schön;1.000;0.000;0.000;a;
einfach richtig Spaß;0.954;0.145;0.030;n;
einfach riesig;0.962;0.133;0.037;a;
einfach riesig Spaß;1.000;0.000;0.000;n;
einfach romantisch;1.000;0.000;0.000;a;
einfach rührend;1.000;0.000;0.000;a;
einfach rundum zufrieden;1.000;0.000;0.000;a;
einfach sagenhaft;1.000;0.000;0.000;a;
einfach sauber;0.940;0.163;0.021;a;
einfach schick;0.925;0.179;0.022;a;
einfach schlecht;-0.943;0.159;0.020;a;
einfach schlecht übersetzt;-0.562;0.165;0.074;a;
einfach schlecht verarbeitet;-0.984;0.087;0.031;a;
einfach schlichtweg begeistert;1.000;0.000;0.000;a;
einfach schön;0.938;0.164;0.018;a;
einfach sehenswert;1.000;0.000;0.000;a;
einfach sehr angenehm;0.958;0.138;0.056;a;
einfach sehr empfehlenswert;1.000;0.000;0.000;a;
einfach sehr gut;1.000;0.000;0.000;a;
einfach sehr gut gelungen;1.000;0.000;0.000;a;
einfach sehr nett;1.000;0.000;0.000;a;
einfach sehr praktisch;1.000;0.000;0.000;a;
einfach sehr schön;0.965;0.127;0.019;a;
einfach sehr schwer;0.000;0.000;0.000;a;m
einfach sehr viel Spaß;0.951;0.149;0.028;n;
einfach sehr zufrieden;0.973;0.113;0.030;a;
einfach sensationell;0.962;0.132;0.012;a;
einfach sensationell gut;0.906;0.195;0.056;a;
einfach so fantastisch;1.000;0.000;0.000;a;
einfach so faszinierend;1.000;0.000;0.000;a;
einfach so geil;1.000;0.000;0.000;a;
einfach so genial;1.000;0.000;0.000;a;
einfach so groß;0.938;0.165;0.074;a;
einfach so langweilig;-0.938;0.165;0.074;a;
einfach so perfekt;0.906;0.195;0.069;a;
einfach so richtig gut;0.938;0.165;0.074;a;
einfach so rührend;1.000;0.000;0.000;a;
einfach so schön;0.955;0.143;0.027;a;
einfach so spannend;0.932;0.171;0.035;a;
einfach so super;0.993;0.059;0.020;a;
einfach so toll;1.000;0.000;0.000;a;
einfach so traurig;-0.400;0.000;0.000;a;m
einfach so viel Spaß;0.938;0.165;0.043;n;
einfach so wunderbar;1.000;0.000;0.000;a;
einfach so wunderschön;0.929;0.175;0.047;a;
einfach spannend;0.942;0.160;0.022;a;
einfach Spaß;0.907;0.194;0.020;n;
einfach spektakulär;1.000;0.000;0.000;a;
einfach spitze;0.980;0.123;0.005;a;
einfach Spitzenklasse;1.000;0.000;0.000;n;
einfach stark;1.000;0.000;0.000;a;
einfach stolz;1.000;0.000;0.000;a;
einfach stundenlang;0.000;0.000;0.000;a;m
einfach stylisch;0.912;0.190;0.038;a;
einfach süchtig;1.000;0.000;0.000;a;
einfach süchtig machend;1.000;0.000;0.000;a;
einfach super;0.979;0.102;0.003;a;
einfach super angenehm;1.000;0.000;0.000;a;
einfach super bequem;1.000;0.000;0.000;a;
einfach super einfach;1.000;0.000;0.000;a;
einfach super geeignet;0.958;0.138;0.056;a;
einfach super gefallen;1.000;0.000;0.000;a;
einfach super geil;1.000;0.000;0.000;a;
einfach super gelungen;1.000;0.000;0.000;a;
einfach super genial;1.000;0.000;0.000;a;
einfach super gut;1.000;0.000;0.000;a;
einfach super klasse;1.000;0.000;0.000;a;
einfach super lecker;0.966;0.125;0.035;a;
einfach super leicht;1.000;0.000;0.000;a;
einfach super lustig;0.921;0.182;0.033;a;
einfach super praktisch;1.000;0.000;0.000;a;
einfach super schick;1.000;0.000;0.000;a;
einfach super schnell;1.000;0.000;0.000;a;
einfach super schön;1.000;0.000;0.000;a;
einfach super spannend;1.000;0.000;0.000;a;
einfach super Spaß;1.000;0.000;0.000;n;
einfach super toll;0.958;0.138;0.023;a;
einfach super umgesetzt;0.938;0.165;0.043;a;
einfach super witzig;0.958;0.138;0.040;a;
einfach super zufrieden;0.945;0.156;0.039;a;
einfach süß;0.922;0.181;0.019;a;
einfach tadellos;1.000;0.000;0.000;a;
einfach toll;0.965;0.132;0.005;a;
einfach toll umgesetzt;1.000;0.000;0.000;a;
einfach top;0.965;0.161;0.009;a;
einfach topp;1.000;0.000;0.000;a;
einfach total begeistert;0.990;0.069;0.013;a;
einfach total geil;1.000;0.000;0.000;a;
einfach total gelungen;0.973;0.113;0.043;a;
einfach total gut;1.000;0.000;0.000;a;
einfach total klasse;1.000;0.000;0.000;a;
einfach total lustig;0.966;0.125;0.035;a;
einfach total passend;1.000;0.000;0.000;a;
einfach total romantisch;0.958;0.138;0.056;a;
einfach total spannend;1.000;0.000;0.000;a;
einfach total Spaß;0.949;0.152;0.046;n;
einfach total super;1.000;0.000;0.000;a;
einfach total süß;0.906;0.195;0.069;a;
einfach total toll;0.973;0.113;0.030;a;
einfach total viel Spaß;0.973;0.113;0.043;n;
einfach total witzig;0.949;0.152;0.046;a;
einfach tragisch;0.000;0.000;0.000;a;m
einfach traumhaft;0.994;0.053;0.006;a;
einfach traumhaft gut;1.000;0.000;0.000;a;
einfach überragend;0.970;0.120;0.011;a;
einfach übersichtlich;0.993;0.059;0.020;a;
einfach überwältigend;1.000;0.000;0.000;a;
einfach überwältigt;0.958;0.138;0.033;a;
einfach überzeugend;0.900;0.200;0.063;a;
einfach überzeugt;0.965;0.128;0.023;a;
einfach umdreht;0.000;0.000;0.000;a;m
einfach umhauen;0.000;0.000;0.000;a;m
einfach umwerfend;1.000;0.000;0.000;a;
einfach umwerfend gut;1.000;0.000;0.000;a;
einfach umwerfend komisch;1.000;0.000;0.000;a;
einfach unbeschreiblich;1.000;0.000;0.000;a;
einfach unbeschreiblich gut;1.000;0.000;0.000;a;
einfach unbeschreiblich toll;1.000;0.000;0.000;a;
einfach unentbehrlich;0.958;0.138;0.033;a;
einfach unersetzlich;1.000;0.000;0.000;a;
einfach unfassbar gut;0.984;0.087;0.031;a;
einfach ungenießbar;-0.993;0.059;0.020;a;
einfach ungerecht;-0.400;0.000;0.000;a;m
einfach ungewöhnlich;0.938;0.165;0.074;a;
einfach unglaublich;0.947;0.303;0.026;a;
einfach unglaublich gut;1.000;0.000;0.000;a;
einfach unglaublich lustig;0.958;0.138;0.056;a;
einfach unglaublich schön;0.906;0.195;0.069;a;
einfach unglaublich spannend;0.977;0.104;0.022;a;
einfach unglaublich toll;0.969;0.174;0.043;a;
einfach unheimlich gut;1.000;0.000;0.000;a;
einfach unheimlich spannend;0.984;0.087;0.031;a;
einfach unheimlich Spaß;1.000;0.000;0.000;n;
einfach unnachahmlich;1.000;0.000;0.000;a;
einfach unschlagbar;0.957;0.141;0.021;a;
einfach unschlagbar gut;1.000;0.000;0.000;a;
einfach unterhaltend;0.562;0.165;0.074;a;
einfach unterhaltsam;0.700;0.245;0.077;a;
einfach unübertroffen;0.991;0.066;0.011;a;
einfach unverbesserlich;-0.400;0.000;0.000;a;m
einfach unvergessen;0.958;0.138;0.056;a;
einfach unvergesslich;1.000;0.000;0.000;a;
einfach unvergleichbar;0.984;0.087;0.031;a;
einfach unvergleichlich;0.951;0.148;0.022;a;
einfach unverwechselbar;0.962;0.132;0.026;a;
einfach unverzichtbar;0.984;0.087;0.015;a;
einfach unvoreingenommen;0.400;0.000;0.000;a;m
einfach unvorstellbar;0.000;0.000;0.000;a;m
einfach unwiderstehlich;0.955;0.144;0.043;a;
einfach unzertrennlich;0.938;0.165;0.074;a;
einfach verblüffend;1.000;0.000;0.000;a;
einfach verdient;0.984;0.087;0.014;a;
einfach verständlich;0.918;0.185;0.016;a;
einfach voll zufrieden;1.000;0.000;0.000;a;
einfach vorsichtig;0.562;0.165;0.074;a;
einfach vorzüglich;0.958;0.138;0.056;a;
einfach Wahnsinn;0.981;0.094;0.018;n;
einfach wahnsinnig gut;0.931;0.173;0.028;a;
einfach wahnsinnig spannend;0.973;0.113;0.043;a;
einfach wahnsinnig Spaß;0.984;0.087;0.031;n;
einfach wahnsinnig viel Spaß;0.966;0.125;0.035;n;
einfach warm;0.000;0.000;0.000;a;m
einfach Weltklasse;1.000;0.000;0.000;n;
einfach wert;0.996;0.044;0.006;a;
einfach wieder klasse;1.000;0.000;0.000;a;
einfach wieder Spaß;1.000;0.000;0.000;n;
einfach witzig;1.000;0.000;0.000;a;
einfach wund;-0.400;0.000;0.000;a;m
einfach wunderbar;0.981;0.108;0.007;a;
einfach wunderbar gelungen;1.000;0.000;0.000;a;
einfach wunderbar komisch;1.000;0.000;0.000;a;
einfach wunderschön;0.921;0.182;0.042;a;
einfach wundervoll;0.993;0.059;0.007;a;
einfach wundervoll erzählt;1.000;0.000;0.000;a;
einfach zauberhaft;0.975;0.109;0.017;a;
einfach zeitlos;0.966;0.126;0.013;a;
einfach zu fesselnd;0.938;0.165;0.052;a;
einfach zu geil;1.000;0.000;0.000;a;
einfach zu genial;0.906;0.195;0.069;a;
einfach zu spannend;0.980;0.097;0.016;a;
einfach zu weit herholen;-0.007;0.132;0.044;a;
einfach zuckersüß;0.949;0.152;0.046;a;
einfach zufrieden;0.882;0.212;0.051;a;
einfach Zugriff;0.527;0.113;0.021;n;
einfachsten;0.700;0.548;0.110;a;
einfallslos;-0.625;0.400;0.066;a;
einfallsreich;0.400;0.000;0.000;a;m
einfühlsam;0.820;0.335;0.042;a;
einfühlsam geschildert;1.000;0.000;0.000;a;
einfühlsam gespielt;1.000;0.000;0.000;a;
eingängig;0.731;0.317;0.088;a;
eingebaut;0.180;0.724;0.201;a;
eingefleischt;0.168;0.650;0.115;a;
eingehend erklärt;0.973;0.113;0.043;a;
eingehend geschildert;0.958;0.138;0.056;a;
eingeschränkt;-0.400;0.000;0.000;a;m
eingeschränkt Kaufempfehlung;0.019;0.150;0.026;n;
einig Manko;-0.400;0.000;0.000;n;m
einig Märchen;0.000;0.000;0.000;n;m
einmal aufgeladen;0.000;0.000;0.000;a;m
einmal bewusst;0.000;0.000;0.000;a;m
einmal heiß;0.000;0.000;0.000;a;m
einmal Langeweile;-0.400;0.000;0.000;n;m
einmal persönlich;0.000;0.000;0.000;a;m
einmal süchtig;0.000;0.000;0.000;a;m
einmal unachtsam;0.000;0.000;0.000;a;m
einmal völlig;0.000;0.000;0.000;a;m
einmalig;0.909;0.352;0.022;a;
einmalig Erlebnis;0.947;0.154;0.021;n;
einmalig genial;0.993;0.059;0.020;a;
einmalig Genuss;0.938;0.165;0.074;n;
einmalig gut;0.955;0.144;0.043;a;
einmalig Humor;0.973;0.113;0.043;n;
einmalig komisch;0.938;0.165;0.052;a;
einmalig Meisterwerk;1.000;0.000;0.000;n;
einmalig schön;1.000;0.000;0.000;a;
einmalig Stil;0.958;0.138;0.056;n;
einmalig umgesetzt;1.000;0.000;0.000;a;
einsam;0.180;0.478;0.069;a;
einsam Spitzenklasse;0.984;0.087;0.022;n;
einschläfernd;-0.726;0.376;0.075;a;
einschließlich erfolgreich;0.000;0.000;0.000;a;m
Einschränkung;0.088;0.490;0.155;n;
einseitig;-0.413;0.540;0.102;a;
Einstiegsdroge;0.933;0.170;0.044;n;
eintönig;-0.400;0.000;0.000;a;m
einwandfrei;0.924;0.212;0.006;a;
einwandfrei ablesbar;0.938;0.165;0.074;a;
einwandfrei angeliefert;1.000;0.000;0.000;a;
einwandfrei geklappt;0.938;0.165;0.018;a;
einwandfrei geladen;0.993;0.059;0.020;a;
einwandfrei gelungen;1.000;0.000;0.000;a;
einwandfrei gepasst;0.984;0.087;0.031;a;
einwandfrei Leistung;0.918;0.185;0.051;n;
einwandfrei rein;0.938;0.165;0.074;a;
einwandfrei verpackt;0.916;0.187;0.027;a;
einzeln;0.000;0.000;0.000;a;m
einzeln anwählbar;0.400;0.000;0.000;a;m
einzig;0.157;0.882;0.067;a;
einzig Abenteuer;0.938;0.165;0.074;n;
einzig Bedenken;-0.400;0.000;0.000;n;m
einzig blöd;-0.400;0.000;0.000;a;m
einzig Enttäuschung;-0.897;0.231;0.037;n;
einzig erwähnenswert Manko;-0.400;0.000;0.000;n;m
einzig Genuss;1.000;0.000;0.000;n;
einzig groß Enttäuschung;-0.958;0.138;0.056;n;
einzig größer Manko;-0.400;0.000;0.000;n;m
einzig Katastrophe;-0.952;0.147;0.032;n;
einzig klein Macke;-0.400;0.000;0.000;n;m
einzig klein Problem;-0.400;0.000;0.000;n;m
einzig klitzeklein Manko;-0.400;0.000;0.000;n;m
einzig Lesevergnügen;0.906;0.195;0.069;n;
einzig Liebeserklärung;0.986;0.117;0.039;n;
einzig noch lebend;0.000;0.000;0.000;a;m
einzig problematisch;-0.400;0.000;0.000;a;m
einzig Punktabzug;-0.400;0.000;0.000;n;m
einzig Reinfall;-0.906;0.195;0.069;n;
einzig Traum;1.000;0.000;0.000;n;
einzig traurig;0.000;0.000;0.000;a;m
einzig überzeugend;-0.500;0.125;0.044;a;
einzig Vergnügen;1.000;0.000;0.000;n;
einzig wahr;0.938;0.300;0.043;a;
einzig winzig Manko;-0.400;0.000;0.000;n;m
einzig winzig Nachteil;-0.400;0.000;0.000;n;m
einzigartig;0.949;0.195;0.011;a;
einzigartig Abenteuer;1.000;0.000;0.000;n;
einzigartig Erlebnis;0.998;0.028;0.005;n;
einzigartig Freundschaft;1.000;0.000;0.000;n;
einzigartig frisch;1.000;0.000;0.000;a;
einzigartig Gabe;0.906;0.195;0.049;n;
einzigartig gelungen;0.969;0.174;0.062;a;
einzigartig Genuss;0.984;0.087;0.031;n;
einzigartig gestalten;0.958;0.138;0.056;a;
einzigartig Humor;0.955;0.143;0.024;n;
einzigartig Klassiker;1.000;0.000;0.000;n;
einzigartig Kraft;1.000;0.000;0.000;n;
einzigartig Kunstwerk;1.000;0.000;0.000;n;
einzigartig Liebeserklärung;0.938;0.165;0.074;n;
einzigartig Meisterwerk;1.000;0.000;0.000;n;
einzigartig schön;0.906;0.195;0.049;a;
einzigartig Schönheit;0.969;0.174;0.062;n;
einzigartig Spannung;0.924;0.180;0.060;n;
einzigartig Stil;0.930;0.173;0.024;n;
einzigartig Zauber;0.938;0.165;0.074;n;
eisig;-0.032;0.650;0.162;a;
eiskalt;-0.400;0.000;0.000;a;m
ekelhaft;-0.762;0.613;0.185;a;
eklatant rechtswidrig;-1.000;0.000;0.000;a;
eklig;-0.369;0.773;0.152;a;
elegant;0.822;0.288;0.025;a;
elektrisch;0.083;0.579;0.080;a;
elektrisch verzerren;0.000;0.000;0.000;a;m
elektrisierend Spannung;1.000;0.000;0.000;n;
elektronisch;0.052;0.563;0.090;a;
emotional;0.844;0.293;0.033;a;
emotional anrührend;0.938;0.165;0.074;a;
emotional einfach;0.000;0.000;0.000;a;m
emotional ergreifend;0.949;0.152;0.046;a;
emotional fesselnd;1.000;0.000;0.000;a;
emotional glaubhaft;1.000;0.000;0.000;a;
emotional inszeniert;0.000;0.000;0.000;a;m
emotional Meisterwerk;1.000;0.000;0.000;n;
emotional mitreißend;0.912;0.190;0.038;a;
emotional sehr berührt;0.938;0.165;0.043;a;
emotional so berührt;1.000;0.000;0.000;a;
emotional Spannung;0.973;0.113;0.043;n;
emotional Wucht;0.906;0.195;0.040;n;
empfehlend;0.886;0.210;0.045;a;
empfehlenswert;0.822;0.313;0.010;a;
empfehlenswert Geschenk;1.000;0.000;0.000;n;
Empfehlung;0.846;0.408;0.021;n;
empfindlich;-0.149;0.703;0.100;a;
endgültig;0.113;0.859;0.165;a;
endlich angemessen;0.400;0.000;0.000;a;m
endlich entspannt;0.400;0.000;0.000;a;m
endlich ernst;0.400;0.000;0.000;a;m
endlich fündig;0.926;0.178;0.022;a;
endlich genau;0.400;0.000;0.000;a;m
endlich gerecht;1.000;0.000;0.000;a;
endlich gesund;1.000;0.000;0.000;a;
endlich glatt;0.000;0.000;0.000;a;m
endlich gut;0.889;0.291;0.034;a;
endlich heiß;0.000;0.000;0.000;a;m
endlich Hilfe;0.400;0.000;0.000;n;m
endlich komplett;0.929;0.175;0.047;a;
